X,trinomial,sitename,t.context,context,ColorGroup
1BlkThn,16CD12,Mounds Plantation,subsequent,individual,A
1Case2LG,16CD12,Mounds Plantation,subsequent,individual,B
1Case2SM,16CD12,Mounds Plantation,subsequent,individual,B
1LGGray,16CD12,Mounds Plantation,subsequent,individual,A
3Ba90,16CD12,Mounds Plantation,initial,individual,B
3Bb1,16CD12,Mounds Plantation,subsequent,individual,A
3Bb3,16CD12,Mounds Plantation,subsequent,individual,B
3Bb4,16CD12,Mounds Plantation,subsequent,individual,B
3Bb5,16CD12,Mounds Plantation,subsequent,individual,A
3Bb6,16CD12,Mounds Plantation,subsequent,individual,B
3Bb7,16CD12,Mounds Plantation,subsequent,individual,B
3Bb8,16CD12,Mounds Plantation,subsequent,individual,A
489,16RR1,Gahagan Mound,subsequent,cache,B
490,16RR1,Gahagan Mound,subsequent,cache,B
532,16RR1,Gahagan Mound,subsequent,cache,B
533,16RR1,Gahagan Mound,subsequent,cache,A
541,16RR1,Gahagan Mound,subsequent,cache,B
542,16RR1,Gahagan Mound,subsequent,cache,A
543,16RR1,Gahagan Mound,subsequent,cache,A
544,16RR1,Gahagan Mound,subsequent,cache,B
545,16RR1,Gahagan Mound,subsequent,cache,B
546,16RR1,Gahagan Mound,subsequent,cache,B
547,16RR1,Gahagan Mound,subsequent,cache,A
548,16RR1,Gahagan Mound,subsequent,cache,B
549,16RR1,Gahagan Mound,subsequent,cache,B
550,16RR1,Gahagan Mound,subsequent,cache,A
551,16RR1,Gahagan Mound,subsequent,cache,B
569,16RR1,Gahagan Mound,subsequent,individual,B
593,16RR1,Gahagan Mound,initial,individual,B
605,16RR1,Gahagan Mound,initial,cache,A
606,16RR1,Gahagan Mound,initial,cache,A
607,16RR1,Gahagan Mound,initial,cache,B
608,16RR1,Gahagan Mound,initial,cache,B
609,16RR1,Gahagan Mound,initial,cache,A
610,16RR1,Gahagan Mound,initial,cache,B
611,16RR1,Gahagan Mound,initial,cache,B
612,16RR1,Gahagan Mound,initial,cache,A
613,16RR1,Gahagan Mound,initial,cache,B
614,16RR1,Gahagan Mound,initial,cache,B
622,16RR1,Gahagan Mound,initial,cache,A
666,16RR1,Gahagan Mound,initial,individual,B
