specimen,trinomial,sitename,t.context,context
489,16RR1,Gahagan Mound,subsequent,cache
490,16RR1,Gahagan Mound,subsequent,cache
532,16RR1,Gahagan Mound,subsequent,cache
533,16RR1,Gahagan Mound,subsequent,cache
541,16RR1,Gahagan Mound,subsequent,cache
542,16RR1,Gahagan Mound,subsequent,cache
543,16RR1,Gahagan Mound,subsequent,cache
544,16RR1,Gahagan Mound,subsequent,cache
545,16RR1,Gahagan Mound,subsequent,cache
546,16RR1,Gahagan Mound,subsequent,cache
547,16RR1,Gahagan Mound,subsequent,cache
548,16RR1,Gahagan Mound,subsequent,cache
549,16RR1,Gahagan Mound,subsequent,cache
550,16RR1,Gahagan Mound,subsequent,cache
551,16RR1,Gahagan Mound,subsequent,cache
569,16RR1,Gahagan Mound,subsequent,individual
593,16RR1,Gahagan Mound,initial,individual
605,16RR1,Gahagan Mound,initial,cache
606,16RR1,Gahagan Mound,initial,cache
607,16RR1,Gahagan Mound,initial,cache
608,16RR1,Gahagan Mound,initial,cache
609,16RR1,Gahagan Mound,initial,cache
610,16RR1,Gahagan Mound,initial,cache
611,16RR1,Gahagan Mound,initial,cache
612,16RR1,Gahagan Mound,initial,cache
613,16RR1,Gahagan Mound,initial,cache
614,16RR1,Gahagan Mound,initial,cache
622,16RR1,Gahagan Mound,initial,cache
666,16RR1,Gahagan Mound,initial,individual
3Ba90,16CD12,Mounds Plantation,initial,individual
3Bb1,16CD12,Mounds Plantation,subsequent,individual
3Bb3,16CD12,Mounds Plantation,subsequent,individual
3Bb4,16CD12,Mounds Plantation,subsequent,individual
3Bb5,16CD12,Mounds Plantation,subsequent,individual
3Bb6,16CD12,Mounds Plantation,subsequent,individual
3Bb7,16CD12,Mounds Plantation,subsequent,individual
3Bb8,16CD12,Mounds Plantation,subsequent,individual
BlkThn,16CD12,Mounds Plantation,subsequent,individual
Case2LG,16CD12,Mounds Plantation,subsequent,individual
Case2SM,16CD12,Mounds Plantation,subsequent,individual
LGGray,16CD12,Mounds Plantation,subsequent,individual
